Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales,Discount
1001,2024-01-01,4,104,4,8487,15
1002,2024-01-02,30,107,2,7299,15
1003,2024-01-03,37,104,1,13056,5
1004,2024-01-04,23,109,2,4965,10
1005,2024-01-05,39,101,3,1135,15
1006,2024-01-06,45,108,2,13917,0
1007,2024-01-07,15,107,2,2193,0
1008,2024-01-08,43,102,3,10374,0
1009,2024-01-09,29,108,4,5252,10
1010,2024-01-10,36,101,2,8811,10
1011,2024-01-11,13,109,4,1330,0
1012,2024-01-12,32,109,2,14598,15
1013,2024-01-13,7,102,4,12367,10
1014,2024-01-14,22,107,3,5677,0
1015,2024-01-15,28,110,2,14762,0
1016,2024-01-16,2,103,3,10061,15
1017,2024-01-17,42,107,2,9432,5
1018,2024-01-18,45,110,3,8808,10
1019,2024-01-19,6,109,3,6449,15
1020,2024-01-20,28,104,2,3338,0
1021,2024-01-21,28,101,2,1650,0
1022,2024-01-22,44,102,2,8060,15
1023,2024-01-23,44,101,1,2431,10
1024,2024-01-24,20,105,4,9704,5
1025,2024-01-25,30,105,1,2164,5
1026,2024-01-26,11,107,1,1581,0
1027,2024-01-27,28,109,3,13421,10
1028,2024-01-28,25,109,2,1012,5
1029,2024-01-29,39,103,4,11541,10
1030,2024-01-30,33,103,3,13907,10
1031,2024-01-31,1,103,1,8305,0
1032,2024-02-01,27,104,2,5737,5
1033,2024-02-02,13,108,3,1059,15
1034,2024-02-03,41,106,2,4172,0
1035,2024-02-04,3,108,3,13275,5
1036,2024-02-05,39,101,2,7904,5
1037,2024-02-06,6,108,1,13684,5
1038,2024-02-07,8,104,4,3843,5
1039,2024-02-08,27,101,1,14000,5
1040,2024-02-09,9,108,4,4570,10
1041,2024-02-10,37,104,2,13491,0
1042,2024-02-11,33,106,3,10162,10
1043,2024-02-12,42,108,1,1080,15
1044,2024-02-13,44,104,4,7504,5
1045,2024-02-14,24,103,1,10986,0
1046,2024-02-15,15,109,4,8630,5
1047,2024-02-16,32,103,1,3647,0
1048,2024-02-17,32,109,4,4749,10
1049,2024-02-18,24,102,4,2179,0
1050,2024-02-19,41,102,2,4006,15
1051,2024-02-20,49,102,4,13784,15
1052,2024-02-21,49,106,2,7753,0
1053,2024-02-22,12,103,4,3244,0
1054,2024-02-23,39,109,3,12048,0
1055,2024-02-24,2,104,3,12737,0
1056,2024-02-25,3,101,3,9935,15
1057,2024-02-26,49,104,4,5688,5
1058,2024-02-27,37,101,2,11810,0
1059,2024-02-28,49,105,2,13796,0
1060,2024-02-29,17,104,4,2641,15
1061,2024-03-01,49,108,3,14561,15
1062,2024-03-02,2,108,3,13745,10
1063,2024-03-03,2,107,2,11751,0
1064,2024-03-04,28,103,3,13240,10
1065,2024-03-05,23,101,1,14015,15
1066,2024-03-06,37,101,2,11651,15
1067,2024-03-07,32,103,3,10957,5
1068,2024-03-08,33,106,2,7117,0
1069,2024-03-09,1,107,1,2979,10
1070,2024-03-10,19,106,2,6984,15
1071,2024-03-11,2,106,2,13338,15
1072,2024-03-12,44,106,2,10327,10
1073,2024-03-13,26,103,2,14100,5
1074,2024-03-14,32,106,1,7921,15
1075,2024-03-15,6,108,4,10449,0
1076,2024-03-16,32,102,2,4952,15
1077,2024-03-17,4,105,2,10762,0
1078,2024-03-18,11,101,3,6381,10
1079,2024-03-19,17,101,2,7165,0
1080,2024-03-20,38,105,3,14569,10
1081,2024-03-21,24,103,4,3349,0
1082,2024-03-22,5,104,1,11943,10
1083,2024-03-23,34,103,1,7890,0
1084,2024-03-24,6,101,4,7405,5
1085,2024-03-25,22,101,1,12422,0
1086,2024-03-26,11,105,4,2989,0
1087,2024-03-27,48,106,4,10323,5
1088,2024-03-28,16,103,4,11508,15
1089,2024-03-29,33,109,1,9707,15
1090,2024-03-30,9,105,3,10040,0
1091,2024-03-31,6,108,4,5111,5
1092,2024-04-01,16,101,2,11779,0
1093,2024-04-02,29,105,1,3339,10
1094,2024-04-03,3,103,4,9027,10
1095,2024-04-04,20,101,4,6378,0
1096,2024-04-05,36,104,2,13284,15
1097,2024-04-06,19,105,3,9587,15
1098,2024-04-07,26,107,3,6803,0
1099,2024-04-08,3,101,3,12238,0
1100,2024-04-09,19,103,4,1351,10
